ZONE,Cu,Au,Cu_SK,Au_SK
1.0,0.024,0.274,0.05378031,0.45488796
1.0,0.024,0.274,0.07401669,0.8764216
1.0,0.123,1.478,0.07417775,0.87782421
1.0,0.123,1.478,0.09467992,1.30575346
1.0,0.123,1.478,0.1069701,1.45105531
1.0,0.123,1.478,0.11463975,1.55156179
1.0,0.123,1.479,0.11986406,1.77190742
1.0,0.123,1.479,0.12413139,2.472772
1.0,0.132,3.469,0.12555144,2.47546543
1.0,0.132,3.471,0.12820612,3.17312279
1.0,0.132,3.471,0.12970242,3.38322154
1.0,0.132,3.473,0.13045073,3.44555063
1.0,0.132,3.473,0.13063184,3.46332741
1.0,0.132,3.474,0.13024557,3.45615058
,,,,
2.0,0.337,0.541,0.35608646,0.54304116
2.0,0.337,0.541,0.34796526,0.54314479
2.0,0.338,0.541,0.34339132,0.54358555
2.0,0.338,0.542,0.34091094,0.54359871
2.0,0.338,0.542,0.33953843,0.54402399
2.0,0.338,0.542,0.33872709,0.54408652
2.0,0.338,0.542,0.33828189,0.54411734
2.0,0.338,0.542,0.33784851,0.54414417
2.0,0.338,0.542,0.33731842,0.54417995
2.0,0.338,0.542,0.33667079,0.54427832
2.0,0.338,0.542,0.33545179,0.54471535
2.0,0.338,0.543,0.33331511,0.54472205
2.0,0.338,0.543,0.32953528,0.54537193
2.0,0.338,0.543,0.32274888,0.54695761
2.0,0.338,0.543,0.31071786,0.555726
2.0,0.338,0.543,0.28936236,0.60616843
2.0,0.338,0.543,0.25129976,0.89498508
2.0,0.338,0.543,0.18366118,2.54573164
2.0,0.029,4.546,0.18373977,2.5446154
2.0,0.029,4.547,0.11610547,4.19535068
2.0,0.029,4.547,0.07804166,4.48505291
2.0,0.029,4.548,0.05668604,4.53600002
2.0,0.029,4.549,0.04465301,4.54536393
2.0,0.029,4.549,0.03788735,4.54816986
2.0,0.029,4.551,0.03406569,4.54848719
2.0,0.029,4.551,0.03195311,4.5494208
2.0,0.029,4.551,0.03076163,4.55000478
2.0,0.029,4.552,0.0300858,4.55011945
2.0,0.029,4.552,0.02975845,4.55104449
2.0,0.029,4.553,0.02960773,4.55162254
2.0,0.029,4.554,0.02958443,4.55247644
2.0,0.029,4.555,0.02972946,4.55306314
2.0,0.029,4.555,0.03004397,4.55395446
2.0,0.029,4.556,0.03065046,4.55380997
2.0,0.029,4.557,0.03173735,4.55031636
2.0,0.029,4.557,0.03367613,4.52819565
2.0,0.029,4.559,0.0371196,4.39414572
2.0,0.029,4.56,0.04323558,3.62620439
2.0,0.057,2.694,0.04323289,3.6260886
2.0,0.057,2.695,0.04934778,2.8528282
2.0,0.057,2.696,0.05276857,2.69307814
2.0,0.057,2.696,0.05466591,2.52276002
2.0,0.057,2.696,0.05568613,1.67655831
2.0,0.057,0.653,0.05617798,1.675528
2.0,0.057,0.653,0.05637655,0.83396793
2.0,0.056,0.653,0.05675597,0.68826713
2.0,0.056,0.654,0.05704441,0.66963772
2.0,0.056,0.654,0.05769188,0.70640383
2.0,0.056,0.654,0.05891884,0.93936562
2.0,0.056,0.654,0.06114276,2.27457066
2.0,0.056,3.892,0.06511886,2.27379189
2.0,0.057,3.893,0.07182279,3.60823544
2.0,0.057,3.894,0.08396288,3.84281337
2.0,0.057,3.895,0.10527341,3.88129021
2.0,0.057,3.896,0.1431062,3.86610064
2.0,0.057,3.899,0.21073063,3.72587989
2.0,0.057,3.899,0.33366535,2.91682478
2.0,0.65,1.931,0.28414805,2.92773017
2.0,0.65,1.932,0.33403105,2.29018585
1.0,0.24,6.606,0.23644685,6.61350254
1.0,0.24,6.61,0.23753838,6.60702165
1.0,0.24,6.611,0.23956903,6.5719237
1.0,0.24,6.613,0.24316068,6.42362613
1.0,0.24,6.613,0.24919625,5.850112
1.0,0.24,6.616,0.25961736,3.65256424
1.0,0.285,0.632,0.26034884,3.65300265
1.0,0.285,0.632,0.27091777,1.45097558
1.0,0.285,0.633,0.27702232,0.87197633
1.0,0.285,0.633,0.2805198,0.71812995
1.0,0.285,0.633,0.28240035,0.67374744
1.0,0.285,0.633,0.28350956,0.65838584
1.0,0.285,0.633,0.28407203,0.64883523
1.0,0.285,0.633,0.28440693,0.64194083
1.0,0.285,0.633,0.28465113,0.63771876
1.0,0.286,0.633,0.28446192,0.63366204
1.0,0.286,0.633,0.2842182,0.63141693
1.0,0.286,0.634,0.28340686,0.63131722
1.0,0.286,0.634,0.28156812,0.63359324
1.0,0.286,0.634,0.27814704,0.64164137
1.0,0.286,0.634,0.27535498,0.67877884
